 ------------------------------------------------------------------------------
 ----- WATER ------------------------------------------------------------------
 ------------------------------------------------------------------------------
User:	jlant
Date:	11/28/2014 2:55:34 PM
StationID:	20141128_test
Date	Discharge (cfs)	Subsurface Flow (mm/day)	Impervious Flow (mm/day)	Infiltration Excess (mm/day)	Initial Abstracted Flow (mm/day)	Overland Flow (mm/day)	PET (mm/day)	AET(mm/day)	Average Soil Root zone (mm)	Average Soil Unsaturated Zone (mm)	Snow Pack (mm)	Precipitation (mm/day)	Storage Deficit (mm/day)	Return Flow (mm/day)	Water Use (cfs)	Discharge + Water Use (cfs)
03/10/1981	68.7620436435	0.983050540742	1.88900610603e-08	0.0	1.10310257378e-05	0.0	0.805436762818	0.805435921286	61.5093186773	0.00245346111993	0.0	0.0	290.902347821	0.0	20.88765625	89.6496998935
03/11/1981	66.1446787115	0.950723173473	8.57607445347e-13	0.0	0.0	0.0	0.779975769129	0.773780729118	60.7354403303	0.0	0.0	0.0	291.853956166	0.0	20.88765625	87.0323349615
03/12/1981	61.009777366	0.871355822155	1.98674887874e-06	0.0	9.04654749145e-05	0.0	0.725320663074	0.725320663074	61.104950852	0.00471205625443	0.0	1.18623214312	292.640797089	0.0	20.88765625	81.897433616
03/13/1981	58.807799602	0.83417581595	9.20454081029e-06	0.0	0.000193464349794	0.0	0.852486179976	0.852486179976	61.6702598495	0.0560628224319	0.0	1.86285708751	293.085400293	0.0	20.88765625	79.695455852
03/14/1981	59.3042493974	0.837947006231	1.38329203444e-05	0.0	0.00023652942278	0.0	0.979696924041	0.979696924041	61.6702598495	0.0861906114069	0.0	2.22783135203	292.707798663	0.0	20.88765625	80.1919056474
03/15/1981	58.8666364649	0.843501027764	6.28013612048e-10	0.0	0.0	0.0	0.728472272172	0.72832614457	60.9417875774	0.0	0.0	0.0	293.468224534	0.0	20.88765625	79.7542927149
03/16/1981	55.579480981	0.802198078346	2.85117738768e-14	0.0	0.0	0.0	1.12353013025	1.08431098335	59.8576368667	0.0	0.0	0.0	294.273349556	0.0	20.88765625	76.467137231
03/17/1981	53.011610081	0.760692327128	1.29443253141e-18	0.0	0.0	0.0	1e-07	9.14960338811e-08	59.8576367753	0.0	0.0	0.0	295.036710586	0.0	20.88765625	73.899266331
03/18/1981	49.4198799342	0.707355442214	2.5028253872e-08	0.0	1.02051348602e-05	0.0	1e-07	1e-07	59.8985233702	0.00208878529012	4.88870451809	0.539870451809	295.73832663	0.0	20.88765625	70.3075361842
03/19/1981	47.28075166	0.676193620343	2.5029390153e-08	0.0	1.02051348602e-05	0.0	1e-07	1e-07	59.939409965	0.000607393026932	4.37870451809	0.0	296.405003654	0.0	20.88765625	68.16840791
03/20/1981	45.2921615266	0.64756454893	2.50293902046e-08	0.0	1.02051348602e-05	0.0	1e-07	1e-07	59.9802965599	0.00115815316754	4.00891700503	0.0140212486942	297.044948563	0.0	20.88765625	66.1798177766
03/21/1981	43.4601087863	0.621300954936	2.50293902046e-08	0.0	1.02051348602e-05	0.0	1e-07	1e-07	60.0211831547	0.00143164145762	3.49891700503	0.0	297.658211988	0.0	20.88765625	64.3477650363
03/22/1981	42.2864248712	0.608381909669	1.13633255729e-12	0.0	0.0	0.0	0.944676121829	0.898522508061	59.472887761	0.0	0.0	0.0	298.266968808	0.0	20.88765625	63.1740811212
03/23/1981	40.3753497743	0.584419750179	5.15894182877e-17	0.0	0.0	0.0	0.955209235983	0.857392468932	58.6162689272	0.0	0.0	0.0	298.8530839	0.0	20.88765625	61.2630060243
03/24/1981	38.7870573072	0.562240652674	2.34215596675e-21	0.0	0.0	0.0	1.15841122053	0.995942625485	57.6216996836	0.0	0.0	0.0	299.416906255	0.0	20.88765625	59.6747135572
03/25/1981	37.3700735988	0.541698808623	1.06333716383e-25	0.0	0.0	0.0	0.911479220927	0.744839200983	56.8783267941	0.0	0.0	0.0	299.960084298	0.0	20.88765625	58.2577298488
03/26/1981	36.0535841953	0.522618316829	4.82754325517e-30	0.0	0.0	0.0	1.04408461813	0.820967517114	56.0593597744	0.0	0.0	0.0	300.484089124	0.0	20.88765625	56.9412404453
03/27/1981	34.8288746187	0.504847708416	2.1917012471e-34	0.0	0.0	0.0	1.18002719651	1.13559927095	55.9241648065	0.0	0.0	1.0	300.99023915	0.0	20.88765625	55.7165308687
03/28/1981	33.6831803074	0.488255833595	9.9503082679e-39	0.0	0.0	0.0	1.13411979167	0.848146520655	55.0786260476	0.0	0.0	0.0	301.47972062	0.0	20.88765625	54.5708365574
03/29/1981	32.6105439761	0.472728554457	4.51743296477e-43	0.0	0.0	0.0	1.83832189922	1.31411922831	53.7693393046	0.0	0.0	0.0	301.953604764	0.0	20.88765625	53.4982002261
03/30/1981	31.6055188593	0.458166064933	2.05091139307e-47	0.0	0.0	0.0	2.46548628736	1.6413173225	52.1357140264	0.0	0.0	0.0	302.412862259	0.0	20.88765625	52.4931751093
03/31/1981	67.0783368942	0.49097129598	0.00104690470763	0.404176232937	0.00186188065004	0.0	1.3785063277	1.3785063277	61.6702598495	0.574158570524	0.0	15.879740302	298.923058149	0.0	20.88765625	87.9659931442
04/01/1981	39.9609952676	0.558962355452	4.75294001943e-08	0.0	0.0	0.0	1.5061830258	1.50588090211	60.1640768237	0.0	0.0	0.0	298.908283639	0.0	4.64170138889	44.6026966565
04/02/1981	198.963366844	1.09357716709	0.00141706866025	1.64114613026	0.0021285862296	0.0	1.55750275558	1.55750275558	61.6702598495	0.403365933246	0.0	19.2337656047	285.917680315	0.0	4.64170138889	203.605068233
04/03/1981	94.2603498379	1.31631091569	6.43348176439e-08	0.0	0.0	0.0	1.62314999016	1.62282440518	60.0471098594	0.0	0.0	0.0	286.837249093	0.0	4.64170138889	98.9020512268
04/04/1981	86.1502394918	1.23857417985	2.92079620231e-12	0.0	0.0	0.0	2.70434075668	2.6682372599	57.3786820322	0.0	0.0	0.0	288.085749008	0.0	4.64170138889	90.7919408807
04/05/1981	79.4436567421	1.14067610599	1.32603942436e-16	0.0	0.0	0.0	2.00302829667	1.98900656619	56.9962108511	0.0	0.0	1.60647697221	289.235267238	0.0	4.64170138889	84.085358131
04/06/1981	82.5700338128	1.11277314249	0.000388772835459	0.0190427303093	0.00118352754394	0.0	1.73347372279	1.73347372279	61.6702598495	0.302627031995	0.0	9.5718301374	287.516484942	0.0	4.64170138889	87.2117352017
04/07/1981	83.438976518	1.18427212404	1.76502594234e-08	0.0	0.0	0.0	1.00466913781	1.00446761408	60.6655907117	0.0	0.0	0.0	288.404750836	0.0	4.64170138889	88.0806779069
04/08/1981	77.5733897573	1.11670850877	8.01320538112e-13	0.0	0.0	0.0	1.6707935295	1.65689418111	59.0084956215	0.0	0.0	0.0	289.530262784	0.0	4.64170138889	82.2150911462
04/09/1981	71.8107524172	1.0368223942	3.63798961475e-17	0.0	0.0	0.0	2.39841535821	2.37132553202	57.7962103787	0.0	0.0	1.15902328595	290.575009995	0.0	4.64170138889	76.4524538061
04/10/1981	70.8788280556	0.969616028842	0.00020649484885	0.0131519292283	0.000878640840659	0.0	1.71792373446	1.71792373446	61.6702598495	0.252268855737	0.0	7.12759275765	290.283696884	0.0	4.64170138889	75.5205294445
04/11/1981	68.8391376154	0.986596062673	9.37485163412e-09	0.0	0.0	0.0	1.89873864516	1.89835778476	59.7715212044	0.0	0.0	0.0	291.023132783	0.0	4.64170138889	73.4808390043
04/12/1981	64.8122802764	0.939511356993	4.25617605723e-13	0.0	0.0	0.0	1.98092631241	1.95002309975	57.8214026193	0.0	0.0	0.0	291.969625285	0.0	4.64170138889	69.4539816653
04/13/1981	62.9995295542	0.882515348346	9.10572764848e-05	0.00186252202655	0.000593649838029	0.0	1.85267257452	1.85267257452	60.5563190672	0.0269412337607	0.0	5.26606840466	292.203537006	0.0	4.64170138889	67.6412309431
04/14/1981	66.4403048125	0.917380186505	0.000132622791522	5.14722842226e-05	0.000711321435651	0.0	1.3608693751	1.3608693751	61.6702598495	0.327053682275	0.0	5.56810423696	290.342023056	0.0	4.64170138889	71.0820062014
04/15/1981	106.70554538	1.36725521183	0.00112175935703	0.0501341553711	0.00192005485086	0.0	0.988861144812	0.988861144812	61.6702598495	2.91881403	0.0	16.1532471858	279.220680261	0.0	4.64170138889	111.347246769
04/16/1981	144.915811667	2.04742880802	5.09277960196e-08	0.0	0.0	0.0	1.11276083741	1.1125376347	60.5574990121	0.0	0.0	0.0	278.339499104	0.0	4.64170138889	149.557513056
04/17/1981	142.506428507	2.03000727826	1.46992037235e-08	0.0	7.81391593547e-06	0.0	1.47828311937	1.47828311937	60.5887432904	0.00068809512392	0.0	1.51725544811	280.383907309	0.0	4.64170138889	147.148129896
04/18/1981	125.731179715	1.79176166965	2.22895206298e-06	0.0	9.57773622162e-05	0.0	1.91808860343	1.91808860343	60.9803811624	0.0134299259695	0.0	2.40660060069	282.109135441	0.0	4.64170138889	130.372881104
04/19/1981	117.553206231	1.69003521215	1.01194267103e-10	0.0	0.0	0.0	1.77701715823	1.76676280011	59.2133586952	0.0	0.0	0.0	283.802595611	0.0	4.64170138889	122.19490762
04/20/1981	104.728592071	1.51144351004	4.59421261885e-15	0.0	0.0	0.0	1.84582298486	1.80858175223	57.4047703285	0.0	0.0	0.0	285.328692174	0.0	4.64170138889	109.370293459
04/21/1981	94.8943938264	1.36673836697	2.0857693021e-19	0.0	0.0	0.0	0.874064490823	0.843346552835	56.5615500905	0.0	0.0	0.0	286.708228961	0.0	4.64170138889	99.5360952153
