# JFM	
# Units: Mgal/day																									
# released March 2014, reprocessed Sept. 2014																									
huc12	newhydroid	AqGwWL	CoGwWL	DoGwWL	InGwWL	IrGwWL	LvGwWL	MiGwWL	ReGwWL	TeGwWL	WsGwWL	AqSwWL	CoSwWL	InSwWL	IrSwWL	LvSwWL	MiSwWL	TeSwWL	WsSwWL	InGwRT	InSwRT	STswRT	WSgwRT	WSTransRC	WStransNY
020401010205	113	0	0	-0.00122675	0	0	-0.001001211	0	0	0	0	0	0	0	0	-0.000136529	0	0	0	0	0	0	0	0	0
020401020402	114	0	0	-0.00247712	0	0	-0.002227386	0	0	0	0	0	0	0	0	-0.000303734	0	0	0	0	0	0	0	0	0
020401010203	115	0	0	-0.00368167	0	0	-0.001538258	0	0	0	0	0	0	0	0	-0.000209762	0	0	0	0	0	0	0	0	0
020401010205	116	0	0	-0.00135356	0	0	-0.000571895	0	0	0	0	0	0	0	0	-7.79857E-05	0	0	0	0	0	0	0	0	0
020401020306	117	0	0	-0.00442111	0	0	-0.000693879	0	0	0	0	0	0	0	0	-9.46199E-05	0	0	0	0	0	0	0	0	0
020401020305	118	0	0	-0.00169718	0	0	-0.000152083	0	0	0	0	0	0	0	0	-2.07386E-05	0	0	0	0	0	0	0	0	0
020401010202	119	0	0	-0.000483146	0	0	-0.000224956	0	0	0	0	0	0	0	0	-3.06758E-05	0	0	0	0	0	0	0	0	0
020401010202	120	0	0	-0.00491131	0	0	-0.002308178	0	0	0	0	0	0	0	0	-0.000314752	0	0	0	0	0	0	0	0	0
020401010205	121	0	0	-0.00100048	0	0	-0.000670116	0	0	0	0	0	0	0	0	-9.13794E-05	0	0	0	0	0	0	0	0	0
020401020306	122	0	0	-0.00159323	0	0	-0.000107725	0	0	0	-0.09	0	0	0	0	-1.46898E-05	0	0	0	0	0	0	0	0	0
020401020304	123	0	0	-0.00131723	0	0	-2.21788E-05	0	0	0	0	0	0	0	0	-3.02438E-06	0	0	0	0	0	0	0	0	0
020401010205	124	0	0	-0.00515876	0	0	-0.001685587	0	0	0	0	0	0	0	0	-0.000229853	0	0	0	0	0	0	0	0	0
020401010202	125	0	0	-0.00204761	0	0	-0.000823783	0	0	0	0	0	0	0	0	-0.000112334	0	0	0	0	0	0	0	0	0
020401020304	126	0	0	-0.00913445	0	0	-0.000258171	0	0	0	0	0	0	0	0	-3.52051E-05	0	0	0	0	0	0	0	0	0
020401020306	127	0	0	-0.00544977	0	0	-0.000161588	0	0	0	0	0	0	0	0	-2.20348E-05	0	0	0	0	0	0	0	0	0
020401010205	128	0	0	-0.0110304	0	0	-0.004559324	0	0	0	0	0	0	0	0	-0.000621726	0	0	0	0	0	0	0	0	0
020401010203	129	0	0	-0.00228458	0	0	-0.002354114	0	0	0	0	0	0	0	0	-0.000321016	0	0	0	0	0	0	0	0	0
020401020404	130	0	0	-0.00640424	0	0	-0.002213121	0	0	0	0	0	0	0	0	-0.000301789	0	0	0	0	0	0	0	0	0
020401020305	131	0	0	-0.00201633	0	0	-0.000329513	0	0	0	0	0	0	0	0	-4.49336E-05	0	0	0	0	0	0	0	0	0
020401010203	132	0	0	-0.000535978	0	0	-0.000462586	0	0	0	0	0	0	0	0	-6.30799E-05	0	0	0	0	0	0	0	0	0
020401010203	133	0	0	-0.00348825	0	0	-0.00156677	0	0	0	0	0	0	0	0	-0.00021365	0	0	0	0	0	0	0	0	0
020401020305	134	0	0	-0.000146608	0	0	-0	0	0	0	0	0	0	0	0	-0	0	0	0	0	0	0	0	0	0
020401020305	135	0	0	-0.00486013	0	0	-0.000646353	0	0	0	0	0	0	0	0	-8.8139E-05	0	0	0	0	0	0	0	0	0
020401020404	136	0	0	-0.00498779	0	0	-0.003833764	0	0	0	0	0	0	0	0	-0.000522786	0	0	0	0	0	0	0	0	0
020401020402	137	0	0	-0.000321436	0	0	-9.66363E-05	0	0	0	0	0	0	0	0	-1.31777E-05	0	0	0	0	0	0	0	0	0
020401010206	138	0	0	-0.00566111	0	0	-0.003757714	0	0	0	0	0	0	0	0	-0.000512416	0	0	0	0	0	0	0	0	0
020401010203	139	0	0	-0.00792762	0	0	-0.001994502	0	0	0	-0.433	0	0	0	0	-0.000271978	0	0	0	0	0	0	0	0	0
020401010202	140	0	0	-0.00406017	0	0	-0.00191371	0	0	0	0	0	0	0	0	-0.00026096	0	0	0	0	0	0	0	0	0
020401020403	141	0	0	-0.00561603	0	0	-0.001568354	0	0	0	0	0	0	0	0	-0.000213866	0	0	0	0	0	0	0	0	0
020401020402	142	0	0	-0.00179317	0	0	-0.000929922	0	0	0	0	0	0	0	0	-0.000126808	0	0	0	0	0	0	0	0	0
020401010206	143	0	0	-0.00355039	0	0	-0.002959282	0	0	0	0	0	0	0	0	-0.000403538	0	0	0	0	0	0	0	0	0
020401020402	144	0	0	-0.0023137	0	0	-0.000581401	0	0	0	0	0	0	0	0	-7.9282E-05	0	0	0	0	0	0	0	0	0
020401020402	145	0	0	-0.00209577	0	0	-0.000383376	0	0	0	0	0	0	0	0	-5.22786E-05	0	0	0	0	0	0	0	0	0
020401010206	146	0	0	-0.0137873	0	0	-0.006948295	0	0	0	0	0	0	0	0	-0.000947495	0	0	0	0	0	0	0	0	0
020401010202	147	0	0	-0.0012618	0	0	-0.000709721	0	0	0	0	0	0	0	0	-9.67801E-05	0	0	0	0	0	0	0	0	0
020401020304	148	0	0	-0.00420173	0	0	-0.001104858	0	0	0	0	0	0	0	0	-0.000150662	0	0	0	0	0	0	0	0	0
020401020304	149	0	0	-1.04483E-05	0	0	-1.89944E-05	0	0	0	0	0	0	0	0	-2.59014E-06	0	0	0	0	0	0	0	0	0
020401020304	150	0	0	-0.00104618	0	0	-0.000291247	0	0	0	0	0	0	0	0	-3.97154E-05	0	0	0	0	0	0	0	0	0
020401020304	151	0	0	-0.00197171	0	0	-5.6983E-05	0	0	0	0	0	0	0	0	-7.77041E-06	0	0	0	0	0	0	0	0	0
020401020306	152	0	0	-0.00113842	0	0	-2.85156E-05	0	0	0	0	0	0	0	0	-3.88849E-06	0	0	0	0	0	0	0	0	0
020401010205	153	0	0	-0.00236353	0	0	-0.000544964	0	0	0	0	0	0	0	0	-7.43132E-05	0	0	0	0	0	0	0	0	0
020401010204	154	0	0	-0.00128184	0	0	-0.000902994	0	0	0	0	0	0	0	0	-0.000123136	0	0	0	0	0	0	0	0	0
020401020306	155	0	0	-0.00450055	0	0	-0.000722395	0	0	0	0	0	0	0	0	-9.85084E-05	0	0	0	0	0	0	0	0	0
020401020306	156	0	0	-0.00253637	0	0	-0.000204362	0	0	0	0	0	0	0	0	-2.78675E-05	0	0	0	0	0	0	0	0	0
020401020402	157	0	0	-0.00093694	0	0	-0.000613085	0	0	0	0	0	0	0	0	-8.36024E-05	0	0	0	0	0	0	0	0	0
020401010204	158	0	0	-0.00301039	0	0	-0.001449545	0	0	0	0	0	0	0	0	-0.000197665	0	0	0	0	0	0	0	0	0
020401010205	159	0	0	-0.0055209	-0.8246	0	-0.003911389	0	0	0	0	0	0	0	0	-0.000533371	0	0	0	0	0	0	0	0	0
020401010204	160	0	0	-0.00303299	0	0	-0.000991707	0	0	0	0	0	0	0	0	-0.000135233	0	0	0	0	0	0	0	0	0
020401020402	161	0	0	-0.00192114	0	0	-0.000765168	0	0	0	0	0	0	0	0	-0.000104341	0	0	0	0	0	0	0	0	0
020401010205	162	0	0	-0.0042059	0	0	-0.003008394	0	0	0	0	0	0	0	0	-0.000410236	0	0	0	0	0	0	0	0	0
020401020304	163	0	0	-0.000799459	0	0	-6.33144E-06	0	0	0	0	0	0	0	0	-8.63378E-07	0	0	0	0	0	0	0	0	0
020401010206	164	0	0	-6.05462E-05	0	0	-0	0	0	0	0	0	0	0	0	-0	0	0	0	0	0	0	0	0	0
020401020403	165	0	0	-0.00234865	0	0	-0.000877646	0	0	0	0	0	0	0	0	-0.000119679	0	0	0	0	0	0	0	0	0
020401010206	166	0	0	-0.00169512	0	0	-0.000896658	0	0	0	0	0	0	0	0	-0.000122272	0	0	0	0	0	0	0	0	0
020401010204	167	0	0	-0.00389665	0	0	-0.000755662	0	0	0	0	0	0	0	0	-0.000103045	0	0	0	0	0	0	0	0	0
020401020404	168	0	0	-0.00307741	0	0	-0.00178222	0	0	0	0	0	0	0	0	-0.00024303	0	0	0	0	0	0	0	0	0
020401020401	169	0	0	-0.00192992	0	0	-0.000243967	0	0	0	0	0	0	0	0	-3.32682E-05	0	0	0	0	0	0	0	0	0
020401020501	170	0	0	-0.0043326	0	0	-0.001384592	0	0	0	0	0	0	0	0	-0.000188808	0	0	0	0	0	0	0	0	0
020401010204	171	0	0	-0.00582161	0	0	-0.001061412	0	0	0	0	0	0	0	0	-0.000144738	0	0	0	0	0	0	0	0	0
020401020402	172	0	0	-0.00133605	0	0	-0.000215451	0	0	0	0	0	0	0	0	-2.93797E-05	0	0	0	0	0	0	0	0	0
020401020403	173	0	0	-0.00372366	0	0	-0.000754078	0	0	0	0	0	0	0	0	-0.000102829	0	0	0	0	0	0	0	0	0
020401010204	174	0	0	-0.000678963	0	0	-0.000269313	0	0	0	0	0	0	0	0	-3.67246E-05	0	0	0	0	0	0	0	0	0
020401010204	175	0	0	-0.00566298	0	0	-0.000974283	0	0	0	0	0	0	0	0	-0.000132857	0	0	0	0	0	0	0	0	0
020401010204	176	0	0	-0.00471147	0	0	-0.000229709	0	0	0	0	0	0	0	0	-3.1324E-05	0	0	0	0	0	0	0	0	0
020401020404	177	0	0	-0.00122106	0	0	-0.000245551	0	0	0	0	0	0	0	0	-3.34842E-05	0	0	0	0	0	0	0	0	0
020401010204	178	0	0	-4.71581E-05	0	0	-2.85156E-05	0	0	0	0	0	0	0	0	-3.88849E-06	0	0	0	0	0	0	0	0	0
020401010204	179	0	0	-0.000379008	0	0	-7.28732E-05	0	0	0	0	0	0	0	0	-9.93725E-06	0	0	0	0	0	0	0	0	0
020401010205	180	0	0	0	0	0	-2.05946E-05	0	0	0	0	0	0	0	0	-2.80835E-06	0	0	0	0	0	0	0	0	0
020401010205	181	0	0	-0.000871915	0	0	-0.000858635	0	0	0	0	0	0	0	0	-0.000117087	0	0	0	0	0	1.29	0	0	0
020401010206	182	0	0	-0.0060929	0	0	-0.002881657	0	0	0	0	0	0	0	0	-0.000392953	0	0	0	0	0	0	0	0	0
020401020401	183	0	0	-0.00136129	0	0	-0.000107635	0	0	0	0	0	0	0	0	-1.46774E-05	0	0	0	0	0	0	0	0	0
