siteNo,date,discharge
basin0,1981-10-09,142.724339209
basin0,1981-10-10,123.553768603
basin0,1981-10-11,107.376049549
basin0,1981-10-12,94.7821728433
basin0,1981-10-13,84.7772523216
basin0,1981-10-14,76.3339571472
basin0,1981-10-15,69.4381507991
basin0,1981-10-16,63.6810587072
basin0,1981-10-17,58.7229067571
basin0,1981-10-18,54.4065290189
basin0,1981-10-19,96.0480738999
basin0,1981-10-20,73.2803791259
basin0,1981-10-21,71.8421085337
basin0,1981-10-22,65.0595814063
basin0,1981-10-23,58.4907914051
basin0,1981-10-24,161.860151
basin0,1981-10-25,135.359097416
basin0,1981-10-26,173.403497021
basin0,1981-10-27,332.207612494
basin0,1981-10-28,466.830725329
basin0,1981-10-29,602.90819762
basin0,1981-10-30,445.53553883
basin0,1981-10-31,285.41215507
basin0,1981-11-01,212.836327373
basin0,1981-11-02,170.016904213
basin0,1981-11-03,141.467535677
basin0,1981-11-04,121.083306532
basin0,1981-11-05,105.625111078
basin0,1981-11-06,105.821779374
basin0,1981-11-07,145.491237117
basin0,1981-11-08,176.016168054
basin0,1981-11-09,156.01276248
basin0,1981-11-10,131.599130316
basin0,1981-11-11,111.954699277
basin0,1981-11-12,105.611621544
basin0,1981-11-13,93.5977676199
basin0,1981-11-14,83.6801041283
basin0,1981-11-15,74.1041822423
basin0,1981-11-16,68.8400273448
basin0,1981-11-17,66.327641648
basin0,1981-11-18,71.5923291187
basin0,1981-11-19,73.8338946644
basin0,1981-11-20,81.4150883116
basin0,1981-11-21,97.7738566148
basin0,1981-11-22,103.773456014
basin0,1981-11-23,93.6618472677
basin0,1981-11-24,84.0410012347
basin0,1981-11-25,76.1027127775
basin0,1981-11-26,69.4353307405
basin0,1981-11-27,66.0165032112
basin0,1981-11-28,68.3418838761
basin0,1981-11-29,65.1998741111
basin0,1981-11-30,60.0827416412
basin0,1981-12-01,55.6456402654
basin0,1981-12-02,168.459717413
basin0,1981-12-03,187.347273228
basin0,1981-12-04,169.535244841
basin0,1981-12-05,141.084423544
basin0,1981-12-06,120.817783674
basin0,1981-12-07,105.738960308
basin0,1981-12-08,93.5903644291
basin0,1981-12-09,80.4032522602
basin0,1981-12-10,73.426428519
basin0,1981-12-11,67.4376540291
basin0,1981-12-12,62.271532886
basin0,1981-12-13,57.7447384259
basin0,1981-12-14,53.7641750511
basin0,1981-12-15,50.249636726
